                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.10193,                0.73817,                0.97337,                 1.6592,              0.0044065,              0.0044065,              0.0044065
                    115,                0.09425,                0.72041,                0.96154,                 1.6572,               0.004357,               0.004357,               0.004357
                    116,                0.09723,                0.73817,                 0.9645,                 1.6471,              0.0043075,              0.0043075,              0.0043075
                    117,                 0.1056,                0.74112,                0.96598,                 1.6504,               0.004258,               0.004258,               0.004258
                    118,                0.09975,                 0.7426,                0.96746,                 1.6496,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.0987,                0.73373,                0.97041,                 1.6413,               0.004159,               0.004159,               0.004159
                    120,                0.08272,                0.73373,                0.96893,                 1.6478,              0.0041095,              0.0041095,              0.0041095
                    121,                0.08655,                0.73077,                0.96154,                 1.6429,                0.00406,                0.00406,                0.00406
                    122,                0.08065,                0.74556,                0.96302,                 1.6431,              0.0040105,              0.0040105,              0.0040105
                    123,                0.07552,                 0.7426,                0.96302,                 1.6387,               0.003961,               0.003961,               0.003961
                    124,                0.07935,                0.73965,                 0.9645,                  1.647,              0.0039115,              0.0039115,              0.0039115
                    125,                 0.0795,                   0.75,                0.96006,                 1.6454,               0.003862,               0.003862,               0.003862
                    126,                0.07443,                0.76775,                0.96598,                 1.6318,              0.0038125,              0.0038125,              0.0038125
                    127,                0.07559,                0.76331,                0.96746,                 1.6375,               0.003763,               0.003763,               0.003763
                    128,                0.07808,                0.75888,                0.96598,                 1.6258,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.0717,                0.75444,                0.96746,                 1.6323,               0.003664,               0.003664,               0.003664
                    130,                0.07485,                0.74704,                0.97041,                 1.6466,              0.0036145,              0.0036145,              0.0036145
                    131,                0.06961,                 0.7426,                0.97041,                  1.633,               0.003565,               0.003565,               0.003565
                    132,                0.07749,                0.74408,                0.97189,                 1.6414,              0.0035155,              0.0035155,              0.0035155
                    133,                0.06874,                0.73965,                0.97485,                 1.6379,               0.003466,               0.003466,               0.003466
                    134,                0.05802,                0.75444,                0.97337,                 1.6349,              0.0034165,              0.0034165,              0.0034165
                    135,                0.05414,                   0.75,                0.96893,                 1.6279,               0.003367,               0.003367,               0.003367
                    136,                0.04772,                0.74852,                0.97337,                 1.6286,              0.0033175,              0.0033175,              0.0033175
                    137,                0.05887,                0.74704,                0.97189,                 1.6341,               0.003268,               0.003268,               0.003268
                    138,                0.04624,                   0.75,                0.97189,                   1.62,              0.0032185,              0.0032185,              0.0032185
                    139,                0.05626,                0.74408,                0.97041,                 1.6296,               0.003169,               0.003169,               0.003169
                    140,                0.05749,                 0.7426,                0.96598,                 1.6566,              0.0031195,              0.0031195,              0.0031195
                    141,                 0.0586,                0.74408,                 0.9645,                 1.6377,                0.00307,                0.00307,                0.00307
                    142,                0.04609,                0.74704,                0.96598,                 1.6266,              0.0030205,              0.0030205,              0.0030205
                    143,                0.04651,                0.74556,                0.97041,                 1.6437,               0.002971,               0.002971,               0.002971
                    144,                0.03975,                0.75444,                0.97485,                 1.6167,              0.0029215,              0.0029215,              0.0029215
                    145,                0.04319,                0.76036,                0.97337,                 1.6144,               0.002872,               0.002872,               0.002872
