                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.11463,                0.73521,                0.97485,                 1.6462,              0.0050005,              0.0050005,              0.0050005
                    103,                0.12608,                0.73817,                0.97485,                 1.6538,               0.004951,               0.004951,               0.004951
                    104,                 0.1136,                 0.7426,                0.97633,                 1.6375,              0.0049015,              0.0049015,              0.0049015
                    105,                0.13024,                0.73225,                0.97485,                 1.6468,               0.004852,               0.004852,               0.004852
                    106,                0.11393,                0.72485,                0.97929,                 1.6532,              0.0048025,              0.0048025,              0.0048025
                    107,                0.11254,                0.72041,                0.97781,                 1.6473,               0.004753,               0.004753,               0.004753
                    108,                0.09765,                0.73521,                0.97041,                 1.6545,              0.0047035,              0.0047035,              0.0047035
                    109,                0.10893,                0.73965,                0.97633,                 1.6499,               0.004654,               0.004654,               0.004654
                    110,                0.12157,                0.74408,                0.97337,                 1.6323,              0.0046045,              0.0046045,              0.0046045
                    111,                0.10652,                0.76183,                0.97041,                 1.6348,               0.004555,               0.004555,               0.004555
                    112,                0.10258,                0.73669,                0.97041,                  1.647,              0.0045055,              0.0045055,              0.0045055
                    113,                0.10249,                0.73965,                0.96893,                 1.6533,               0.004456,               0.004456,               0.004456
                    114,                0.09122,                0.75296,                0.96893,                 1.6387,              0.0044065,              0.0044065,              0.0044065
                    115,                0.09164,                0.74408,                0.97189,                 1.6377,               0.004357,               0.004357,               0.004357
                    116,                0.09973,                0.74852,                0.96893,                 1.6366,              0.0043075,              0.0043075,              0.0043075
                    117,                0.09131,                0.74112,                0.96893,                 1.6413,               0.004258,               0.004258,               0.004258
                    118,                0.09192,                   0.75,                0.96598,                 1.6429,              0.0042085,              0.0042085,              0.0042085
                    119,                0.09212,                0.75148,                0.97041,                 1.6369,               0.004159,               0.004159,               0.004159
                    120,                0.07839,                0.74852,                0.97041,                 1.6406,              0.0041095,              0.0041095,              0.0041095
                    121,                0.08321,                   0.75,                0.96746,                 1.6309,                0.00406,                0.00406,                0.00406
                    122,                0.07082,                0.75444,                0.96893,                  1.633,              0.0040105,              0.0040105,              0.0040105
                    123,                0.08621,                0.74556,                0.96893,                   1.63,               0.003961,               0.003961,               0.003961
                    124,                0.07024,                0.75296,                0.96598,                 1.6284,              0.0039115,              0.0039115,              0.0039115
                    125,                0.08843,                0.75592,                0.97189,                 1.6359,               0.003862,               0.003862,               0.003862
                    126,                0.07778,                0.74852,                0.97189,                 1.6408,              0.0038125,              0.0038125,              0.0038125
                    127,                0.06978,                0.73373,                0.97189,                 1.6488,               0.003763,               0.003763,               0.003763
                    128,                0.07491,                0.73817,                0.97189,                 1.6248,              0.0037135,              0.0037135,              0.0037135
                    129,                0.06366,                 0.7426,                0.97337,                 1.6409,               0.003664,               0.003664,               0.003664
                    130,                0.05778,                0.74556,                0.97189,                  1.638,              0.0036145,              0.0036145,              0.0036145
                    131,                0.06543,                0.76036,                0.97189,                  1.624,               0.003565,               0.003565,               0.003565
                    132,                0.07389,                0.76183,                0.96893,                 1.6279,              0.0035155,              0.0035155,              0.0035155
                    133,                0.06677,                   0.75,                0.97485,                 1.6286,               0.003466,               0.003466,               0.003466
                    134,                0.05427,                   0.75,                0.97485,                 1.6315,              0.0034165,              0.0034165,              0.0034165
                    135,                0.06419,                   0.75,                0.97189,                 1.6273,               0.003367,               0.003367,               0.003367
                    136,                0.05444,                0.75148,                0.97189,                 1.6255,              0.0033175,              0.0033175,              0.0033175
                    137,                0.05246,                 0.7574,                0.97485,                 1.6206,               0.003268,               0.003268,               0.003268
                    138,                0.05206,                0.76183,                0.97633,                 1.6063,              0.0032185,              0.0032185,              0.0032185
                    139,                0.05273,                0.76036,                0.97633,                 1.6235,               0.003169,               0.003169,               0.003169
                    140,                0.04729,                 0.7574,                0.97633,                  1.634,              0.0031195,              0.0031195,              0.0031195
                    141,                0.05672,                0.75148,                0.97189,                  1.638,                0.00307,                0.00307,                0.00307
                    142,                 0.0466,                0.75148,                0.97485,                  1.618,              0.0030205,              0.0030205,              0.0030205
                    143,                0.04301,                0.75148,                0.97633,                 1.6364,               0.002971,               0.002971,               0.002971
                    144,                0.04231,                0.75148,                0.97485,                 1.6117,              0.0029215,              0.0029215,              0.0029215
                    145,                0.04585,                 0.7574,                0.97337,                 1.6154,               0.002872,               0.002872,               0.002872
                    146,                0.04817,                0.75444,                0.97633,                 1.6231,              0.0028225,              0.0028225,              0.0028225
                    147,                0.04695,                0.76183,                0.97633,                 1.6188,               0.002773,               0.002773,               0.002773
                    148,                0.04018,                0.76331,                0.97781,                 1.6143,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.0362,                0.76479,                0.97781,                 1.6081,               0.002674,               0.002674,               0.002674
                    150,                0.03864,                0.76923,                0.97929,                 1.6074,              0.0026245,              0.0026245,              0.0026245
                    151,                0.04597,                0.76331,                0.97633,                 1.6289,               0.002575,               0.002575,               0.002575
                    152,                0.03441,                0.77071,                0.97633,                 1.6118,              0.0025255,              0.0025255,              0.0025255
                    153,                0.03454,                0.76775,                0.97485,                 1.6152,               0.002476,               0.002476,               0.002476
                    154,                 0.0338,                0.76627,                0.97781,                 1.6133,              0.0024265,              0.0024265,              0.0024265
                    155,                0.03532,                0.76036,                0.97781,                 1.6211,               0.002377,               0.002377,               0.002377
                    156,                0.03448,                0.75592,                0.97485,                 1.6255,              0.0023275,              0.0023275,              0.0023275
                    157,                0.03018,                0.75148,                0.97633,                 1.6328,               0.002278,               0.002278,               0.002278
                    158,                0.02636,                   0.75,                0.97485,                 1.6331,              0.0022285,              0.0022285,              0.0022285
                    159,                0.02643,                0.75148,                0.97485,                 1.6185,               0.002179,               0.002179,               0.002179
                    160,                0.02698,                0.75296,                0.97189,                 1.6278,              0.0021295,              0.0021295,              0.0021295
                    161,                 0.0238,                0.75592,                0.97189,                 1.6208,                0.00208,                0.00208,                0.00208
                    162,                0.02505,                0.75592,                0.97337,                 1.6061,              0.0020305,              0.0020305,              0.0020305
                    163,                0.02701,                 0.7574,                0.97337,                 1.6193,               0.001981,               0.001981,               0.001981
                    164,                0.02444,                0.75444,                0.97485,                  1.618,              0.0019315,              0.0019315,              0.0019315
                    165,                 0.0229,                0.75296,                0.97337,                 1.6266,               0.001882,               0.001882,               0.001882
                    166,                0.01877,                 0.7574,                0.97485,                 1.6118,              0.0018325,              0.0018325,              0.0018325
                    167,                0.02363,                0.75592,                0.97485,                 1.6227,               0.001783,               0.001783,               0.001783
                    168,                0.02013,                0.75592,                0.97485,                 1.6216,              0.0017335,              0.0017335,              0.0017335
                    169,                0.01562,                0.75592,                0.97633,                 1.6086,               0.001684,               0.001684,               0.001684
                    170,                0.02017,                0.75444,                0.97633,                  1.626,              0.0016345,              0.0016345,              0.0016345
                    171,                0.02137,                0.75444,                0.97485,                 1.6232,               0.001585,               0.001585,               0.001585
                    172,                0.01623,                0.75592,                0.97485,                 1.6156,              0.0015355,              0.0015355,              0.0015355
